Month,Plant / Section,Material Desc.,GRN Ref,Qty Consumed,UOM,Rate (Rs/MT),Remarks
Jan-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202601/0114,"19,240.80",MT,"4,850",
Jan-26,Rolling Mill,FURNACE OIL,GRN/202601/0231,608.18,KL,"42,500",
Jan-26,Material Handling,HSD (DIESEL),GRN/202601/0388,42.26,KL,"89,000",
Feb-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202602/0114,"21,818.80",MT,"4,850",
Feb-26,Rolling Mill,FURNACE OIL,GRN/202602/0231,626.07,KL,"42,500",
Feb-26,Material Handling,HSD (DIESEL),GRN/202602/0388,33.83,KL,"89,000",
Mar-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202603/0114,"19,687.07",MT,"4,850",
Mar-26,Rolling Mill,FURNACE OIL,GRN/202603/0231,576.19,KL,"42,500",
Mar-26,Material Handling,HSD (DIESEL),GRN/202603/0388,33.36,KL,"89,000",
Apr-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202604/0114,"19,209.39",MT,"4,850",
Apr-26,Rolling Mill,FURNACE OIL,GRN/202604/0231,557.09,KL,"42,500",
Apr-26,Material Handling,HSD (DIESEL),GRN/202604/0388,42.72,KL,"89,000",
May-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202605/0114,"18,352.28",MT,"4,850",
May-26,Rolling Mill,FURNACE OIL,GRN/202605/0231,565.89,KL,"42,500",
May-26,Material Handling,HSD (DIESEL),GRN/202605/0388,42.19,KL,"89,000",incl. DG set running
Jun-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202606/0114,"18,697.54",MT,"4,850",
Jun-26,Rolling Mill,FURNACE OIL,GRN/202606/0231,575.43,KL,"42,500",
Jun-26,Material Handling,HSD (DIESEL),GRN/202606/0388,36.28,KL,"89,000",
Jul-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202607/0114,"21,417.99",MT,"4,850",
Jul-26,Rolling Mill,FURNACE OIL,GRN/202607/0231,554.83,KL,"42,500",
Jul-26,Material Handling,HSD (DIESEL),GRN/202607/0388,43.64,KL,"89,000",
Aug-26,DRI Kiln #1 & #2,NON COKING COAL (G11),GRN/202608/0114,"19,740.40",MT,"4,850",
Aug-26,Rolling Mill,FURNACE OIL,GRN/202608/0231,630.36,KL,"42,500",
Aug-26,Material Handling,HSD (DIESEL),GRN/202608/0388,44.02,KL,"89,000",
Jun-26,DRI Kiln #1 & #2,NON COKING COAL (G11) - suppl.,GRN/202606/0119,"4,50,00,000",MT,"4,850",revised entry - check UOM
Mar-26,Rolling Mill,FURNACE OIL,GRN/202603/0231,576.19,KL,"42,500",
