Month,Consuming Section,Material,CN Code,Qty Received (MT),Supplier,CBAM Communication Recd?,Supplier SEE Direct (tCO2e/t),Supplier SEE Indirect
Jan-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"4,415.61",Jindal Sponge (Raigarh),Yes,1.038,0.071
Jan-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"2,237.44",Maa Ambey Ispat,No,-,-
Jan-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,158.53,Balasore Alloys,Yes,2.410,1.580
Feb-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"3,880.09",Jindal Sponge (Raigarh),Yes,1.038,0.071
Feb-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"1,637.03",Maa Ambey Ispat,No,-,-
Feb-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,150.92,Balasore Alloys,Yes,2.410,1.580
Mar-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"4,240.80",Jindal Sponge (Raigarh),Yes,1.038,0.071
Mar-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"1,638.26",Maa Ambey Ispat,No,-,-
Mar-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,158.33,Balasore Alloys,Yes,2.410,1.580
Apr-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"3,609.44",Jindal Sponge (Raigarh),Yes,1.038,0.071
Apr-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"1,930.46",Maa Ambey Ispat,No,-,-
Apr-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,144.96,Balasore Alloys,Yes,2.410,1.580
May-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"3,958.81",Jindal Sponge (Raigarh),Yes,1.038,0.071
May-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"1,604.04",Maa Ambey Ispat,No,-,-
May-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,142.70,Balasore Alloys,Yes,2.410,1.580
Jun-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"4,805.05",Jindal Sponge (Raigarh),Yes,1.038,0.071
Jun-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"1,816.02",Maa Ambey Ispat,No,-,-
Jun-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,151.96,Balasore Alloys,Yes,2.410,1.580
Jul-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"4,086.00",Jindal Sponge (Raigarh),Yes,1.038,0.071
Jul-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"1,784.13",Maa Ambey Ispat,No,-,-
Jul-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,154.05,Balasore Alloys,Yes,2.410,1.580
Aug-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"4,447.82",Jindal Sponge (Raigarh),Yes,1.038,0.071
Aug-26,Melt Shop (IF/EAF),SPONGE IRON (bought out),7203 10 00,"2,026.55",Maa Ambey Ispat,No,-,-
Aug-26,Melt Shop (IF/EAF),FERRO SILICON 70%,7202 21 00,144.26,Balasore Alloys,Yes,2.410,1.580
