Period,Cost Centre,Item Description,Consumption,Unit,Vendor Code,Batch
Jan-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),564.14,MT,V-10233,B2601
Jan-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),67.12,MT,V-20871,B2601
Jan-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,791.80,MT,V-10233,B2601
Feb-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),586.67,MT,V-10233,B2602
Feb-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),63.81,MT,V-20871,B2602
Feb-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,771.80,MT,V-10233,B2602
Mar-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),526.57,MT,V-10233,B2603
Mar-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),60.44,MT,V-20871,B2603
Mar-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,834.44,MT,V-10233,B2603
Apr-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),551.38,MT,V-10233,B2604
Apr-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),60.47,MT,V-20871,B2604
Apr-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,838.90,MT,V-10233,B2604
May-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),482.32,MT,V-10233,B2605
May-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),57.33,MT,V-20871,B2605
May-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,811.87,MT,V-10233,B2605
Jun-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),518.43,MT,V-10233,B2606
Jun-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),63.56,MT,V-20871,B2606
Jun-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,781.89,MT,V-10233,B2606
Jul-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),574.98,MT,V-10233,B2607
Jul-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),67.61,MT,V-20871,B2607
Jul-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,809.50,MT,V-10233,NA
Aug-26,DRI Kiln #1 & #2,DOLOMITE (CALCINED),509.07,MT,V-10233,B2608
Aug-26,Melt Shop (IF/EAF),GRAPHITE ELECTRODE (UHP 400mm),57.46,MT,V-20871,B2608
Aug-26,Melt Shop (IF/EAF),LIME / LIMESTONE FLUX,724.78,MT,V-10233,B2608
