Month,Section,Product,HS / CN Code,Production (MT),Despatched to EU (MT),Domestic Despatch (MT),Internal Transfer (MT)
Jan-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"18,862.91",0,0,"18,862.91"
Jan-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"24,832.79","4,469.90","4,966.56","15,396.33"
Jan-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"15,818.57","6,485.62","9,332.96",0
Feb-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"17,309.46",0,0,"17,309.46"
Feb-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"24,814.28","4,466.57","4,962.86","15,384.86"
Feb-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"14,771.15","6,056.17","8,714.98",0
Mar-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"16,801.73",0,0,"16,801.73"
Mar-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"24,793.08","4,462.75","4,958.62","15,371.71"
Mar-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"14,881.75","6,101.52","8,780.23",0
Apr-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"18,446.11",0,0,"18,446.11"
Apr-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"22,966.36","4,133.95","4,593.27","14,239.15"
Apr-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"15,404.38","6,315.80","9,088.58",0
May-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"16,374.65",0,0,"16,374.65"
May-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"25,396.00","4,571.28","5,079.20","15,745.52"
May-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"14,339.91","5,879.36","8,460.55",0
Jun-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"17,275.32",0,0,"17,275.32"
Jun-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"25,031.81","4,505.73","5,006.36","15,519.72"
Jun-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"14,508.72","5,948.57","8,560.14",0
Jul-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"18,037.73",0,0,"18,037.73"
Jul-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"23,995.72","4,319.23","4,799.14","14,877.35"
Jul-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"14,442.95","5,921.61","8,521.34",0
Aug-26,DRI Kiln #1 & #2,SPONGE IRON (DRI),7203 10 00,"17,576.55",0,0,"17,576.55"
Aug-26,Melt Shop (IF/EAF),MS BILLETS 125x125,7207 11 00,"22,957.17","4,132.29","4,591.43","14,233.45"
Aug-26,Rolling Mill,TMT REBAR Fe500D,7213 10 00,"14,709.42","6,030.86","8,678.56",0
Aug-26,Workshop,MS FABRICATED SPARES,8455 90 00,42.00,12.00,30.00,0
